On the 0th level of the search tree
- Removing the 16 feature with accuracy: 0.6702
- Removing the 17 feature with accuracy: 0.6714
- Removing the 18 feature with accuracy: 0.677
- Removing the 19 feature with accuracy: 0.6826
- Removing the 20 feature with accuracy: 0.6808
- Removing the 21 feature with accuracy: 0.673
- Removing the 22 feature with accuracy: 0.6764
- Removing the 23 feature with accuracy: 0.6722
- Removing the 24 feature with accuracy: 0.6862
- Removing the 25 feature with accuracy: 0.6748
- Removing the 26 feature with accuracy: 0.6746
- Removing the 27 feature with accuracy: 0.6782
- Removing the 28 feature with accuracy: 0.6746
- Removing the 29 feature with accuracy: 0.6724
- Removing the 30 feature with accuracy: 0.6808
- Removing the 31 feature with accuracy: 0.6738
- Removing the 32 feature with accuracy: 0.676
- Removing the 33 feature with accuracy: 0.6768
- Removing the 34 feature with accuracy: 0.6784
- Removing the 35 feature with accuracy: 0.6712
- Removing the 36 feature with accuracy: 0.6716
- Removing the 37 feature with accuracy: 0.6804
- Removing the 38 feature with accuracy: 0.6724
- Removing the 39 feature with accuracy: 0.6754
- Removing the 40 feature with accuracy: 0.678
- Removing the 41 feature with accuracy: 0.6762
- Removing the 42 feature with accuracy: 0.6692
- Removing the 43 feature with accuracy: 0.6808
- Removing the 44 feature with accuracy: 0.6768
- Removing the 45 feature with accuracy: 0.6754
- Removing the 46 feature with accuracy: 0.6774
- Removing the 47 feature with accuracy: 0.6684
- Removing the 48 feature with accuracy: 0.6698
- Removing the 49 feature with accuracy: 0.6746

On level 1, removed feature 24 to current set. With current features: [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.6862

On the 2th level of the search tree
- Removing the 0 feature with accuracy: 0.6834
- Removing the 1 feature with accuracy: 0.6842
- Removing the 3 feature with accuracy: 0.6884
- Removing the 4 feature with accuracy: 0.6774
- Removing the 5 feature with accuracy: 0.6846
- Removing the 6 feature with accuracy: 0.6848
- Removing the 7 feature with accuracy: 0.6802
- Removing the 8 feature with accuracy: 0.6848
- Removing the 9 feature with accuracy: 0.6816
- Removing the 10 feature with accuracy: 0.6772
- Removing the 11 feature with accuracy: 0.6774
- Removing the 12 feature with accuracy: 0.6836
- Removing the 13 feature with accuracy: 0.6774
- Removing the 14 feature with accuracy: 0.683
- Removing the 15 feature with accuracy: 0.6838
- Removing the 16 feature with accuracy: 0.6784
- Removing the 17 feature with accuracy: 0.683
- Removing the 18 feature with accuracy: 0.6756
- Removing the 19 feature with accuracy: 0.6842
- Removing the 20 feature with accuracy: 0.6862
- Removing the 21 feature with accuracy: 0.6798
- Removing the 22 feature with accuracy: 0.68
- Removing the 23 feature with accuracy: 0.6736
- Removing the 25 feature with accuracy: 0.6826
- Removing the 26 feature with accuracy: 0.6824
- Removing the 27 feature with accuracy: 0.6886
- Removing the 28 feature with accuracy: 0.6768
- Removing the 29 feature with accuracy: 0.6794
- Removing the 30 feature with accuracy: 0.6886
- Removing the 31 feature with accuracy: 0.6858
- Removing the 32 feature with accuracy: 0.6764
- Removing the 33 feature with accuracy: 0.677
- Removing the 34 feature with accuracy: 0.6794
- Removing the 35 feature with accuracy: 0.6796
- Removing the 36 feature with accuracy: 0.6804
- Removing the 37 feature with accuracy: 0.682
- Removing the 38 feature with accuracy: 0.6828
- Removing the 39 feature with accuracy: 0.6806
- Removing the 40 feature with accuracy: 0.6846
- Removing the 41 feature with accuracy: 0.6778
- Removing the 42 feature with accuracy: 0.6752
- Removing the 43 feature with accuracy: 0.6908
- Removing the 44 feature with accuracy: 0.677
- Removing the 45 feature with accuracy: 0.6788
- Removing the 46 feature with accuracy: 0.6786
- Removing the 47 feature with accuracy: 0.6812
- Removing the 48 feature with accuracy: 0.6804
- Removing the 49 feature with accuracy: 0.6814

On level 2, removed feature 43 to current set. With current features: [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.6908

On the 3th level of the search tree
- Removing the 0 feature with accuracy: 0.6854
- Removing the 1 feature with accuracy: 0.6896
- Removing the 3 feature with accuracy: 0.6942
- Removing the 4 feature with accuracy: 0.6866
- Removing the 5 feature with accuracy: 0.6822
- Removing the 6 feature with accuracy: 0.6882
- Removing the 7 feature with accuracy: 0.6862
- Removing the 8 feature with accuracy: 0.6832
- Removing the 9 feature with accuracy: 0.6828
- Removing the 10 feature with accuracy: 0.6778
- Removing the 11 feature with accuracy: 0.6796
- Removing the 12 feature with accuracy: 0.6842
- Removing the 13 feature with accuracy: 0.68
- Removing the 14 feature with accuracy: 0.679
- Removing the 15 feature with accuracy: 0.6844
- Removing the 16 feature with accuracy: 0.6836
- Removing the 17 feature with accuracy: 0.6856
- Removing the 18 feature with accuracy: 0.6814
- Removing the 19 feature with accuracy: 0.6838
- Removing the 20 feature with accuracy: 0.6886
- Removing the 21 feature with accuracy: 0.6838
- Removing the 22 feature with accuracy: 0.6814
- Removing the 23 feature with accuracy: 0.6766
- Removing the 25 feature with accuracy: 0.6868
- Removing the 26 feature with accuracy: 0.6864
- Removing the 27 feature with accuracy: 0.6874
- Removing the 28 feature with accuracy: 0.6838
- Removing the 29 feature with accuracy: 0.6832
- Removing the 30 feature with accuracy: 0.6896
- Removing the 31 feature with accuracy: 0.686
- Removing the 32 feature with accuracy: 0.6738
- Removing the 33 feature with accuracy: 0.6768
- Removing the 34 feature with accuracy: 0.6854
- Removing the 35 feature with accuracy: 0.681
- Removing the 36 feature with accuracy: 0.683
- Removing the 37 feature with accuracy: 0.6818
- Removing the 38 feature with accuracy: 0.6886
- Removing the 39 feature with accuracy: 0.6826
- Removing the 40 feature with accuracy: 0.6854
- Removing the 41 feature with accuracy: 0.682
- Removing the 42 feature with accuracy: 0.674
- Removing the 44 feature with accuracy: 0.6838
- Removing the 45 feature with accuracy: 0.6834
- Removing the 46 feature with accuracy: 0.6858
- Removing the 47 feature with accuracy: 0.6824
- Removing the 48 feature with accuracy: 0.6786
- Removing the 49 feature with accuracy: 0.682

On level 3, removed feature 3 to current set. With current features: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.6942

On the 4th level of the search tree
- Removing the 0 feature with accuracy: 0.691
- Removing the 1 feature with accuracy: 0.6952
- Removing the 4 feature with accuracy: 0.687
- Removing the 5 feature with accuracy: 0.6898
- Removing the 6 feature with accuracy: 0.6912
- Removing the 7 feature with accuracy: 0.6928
- Removing the 8 feature with accuracy: 0.6882
- Removing the 9 feature with accuracy: 0.6842
- Removing the 10 feature with accuracy: 0.6832
- Removing the 11 feature with accuracy: 0.686
- Removing the 12 feature with accuracy: 0.6894
- Removing the 13 feature with accuracy: 0.6862
- Removing the 14 feature with accuracy: 0.6854
- Removing the 15 feature with accuracy: 0.6862
- Removing the 16 feature with accuracy: 0.6842
- Removing the 17 feature with accuracy: 0.6882
- Removing the 18 feature with accuracy: 0.6886
- Removing the 19 feature with accuracy: 0.6914
- Removing the 20 feature with accuracy: 0.693
- Removing the 21 feature with accuracy: 0.6886
- Removing the 22 feature with accuracy: 0.6862
- Removing the 23 feature with accuracy: 0.683
- Removing the 25 feature with accuracy: 0.6886
- Removing the 26 feature with accuracy: 0.6926
- Removing the 27 feature with accuracy: 0.6922
- Removing the 28 feature with accuracy: 0.6834
- Removing the 29 feature with accuracy: 0.6958
- Removing the 30 feature with accuracy: 0.6948
- Removing the 31 feature with accuracy: 0.6894
- Removing the 32 feature with accuracy: 0.6786
- Removing the 33 feature with accuracy: 0.6876
- Removing the 34 feature with accuracy: 0.6932
- Removing the 35 feature with accuracy: 0.6868
- Removing the 36 feature with accuracy: 0.6868
- Removing the 37 feature with accuracy: 0.692
- Removing the 38 feature with accuracy: 0.6926
- Removing the 39 feature with accuracy: 0.6912
- Removing the 40 feature with accuracy: 0.6892
- Removing the 41 feature with accuracy: 0.6856
- Removing the 42 feature with accuracy: 0.6816
- Removing the 44 feature with accuracy: 0.6898
- Removing the 45 feature with accuracy: 0.6878
- Removing the 46 feature with accuracy: 0.6904
- Removing the 47 feature with accuracy: 0.6854
- Removing the 48 feature with accuracy: 0.6862
- Removing the 49 feature with accuracy: 0.6852

On level 4, removed feature 29 to current set. With current features: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.6958

On the 5th level of the search tree
- Removing the 0 feature with accuracy: 0.6994
- Removing the 1 feature with accuracy: 0.6966
- Removing the 4 feature with accuracy: 0.6946
- Removing the 5 feature with accuracy: 0.69
- Removing the 6 feature with accuracy: 0.6912
- Removing the 7 feature with accuracy: 0.6912
- Removing the 8 feature with accuracy: 0.6894
- Removing the 9 feature with accuracy: 0.6918
- Removing the 10 feature with accuracy: 0.6894
- Removing the 11 feature with accuracy: 0.689
- Removing the 12 feature with accuracy: 0.6964
- Removing the 13 feature with accuracy: 0.69
- Removing the 14 feature with accuracy: 0.6898
- Removing the 15 feature with accuracy: 0.6916
- Removing the 16 feature with accuracy: 0.6858
- Removing the 17 feature with accuracy: 0.6928
- Removing the 18 feature with accuracy: 0.6876
- Removing the 19 feature with accuracy: 0.698
- Removing the 20 feature with accuracy: 0.6948
- Removing the 21 feature with accuracy: 0.6872
- Removing the 22 feature with accuracy: 0.6874
- Removing the 23 feature with accuracy: 0.6838
- Removing the 25 feature with accuracy: 0.692
- Removing the 26 feature with accuracy: 0.695
- Removing the 27 feature with accuracy: 0.6964
- Removing the 28 feature with accuracy: 0.693
- Removing the 30 feature with accuracy: 0.6948
- Removing the 31 feature with accuracy: 0.694
- Removing the 32 feature with accuracy: 0.6882
- Removing the 33 feature with accuracy: 0.6882
- Removing the 34 feature with accuracy: 0.69
- Removing the 35 feature with accuracy: 0.6926
- Removing the 36 feature with accuracy: 0.694
- Removing the 37 feature with accuracy: 0.6898
- Removing the 38 feature with accuracy: 0.6944
- Removing the 39 feature with accuracy: 0.6888
- Removing the 40 feature with accuracy: 0.691
- Removing the 41 feature with accuracy: 0.688
- Removing the 42 feature with accuracy: 0.6848
- Removing the 44 feature with accuracy: 0.6928
- Removing the 45 feature with accuracy: 0.6944
- Removing the 46 feature with accuracy: 0.6886
- Removing the 47 feature with accuracy: 0.6852
- Removing the 48 feature with accuracy: 0.6876
- Removing the 49 feature with accuracy: 0.6926

On level 5, removed feature 0 to current set. With current features: [1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.6994

On the 6th level of the search tree
- Removing the 1 feature with accuracy: 0.6962
- Removing the 4 feature with accuracy: 0.6928
- Removing the 5 feature with accuracy: 0.6956
- Removing the 6 feature with accuracy: 0.6938
- Removing the 7 feature with accuracy: 0.6944
- Removing the 8 feature with accuracy: 0.691
- Removing the 9 feature with accuracy: 0.6956
- Removing the 10 feature with accuracy: 0.6896
- Removing the 11 feature with accuracy: 0.689
- Removing the 12 feature with accuracy: 0.6932
- Removing the 13 feature with accuracy: 0.6924
- Removing the 14 feature with accuracy: 0.6898
- Removing the 15 feature with accuracy: 0.698
- Removing the 16 feature with accuracy: 0.6932
- Removing the 17 feature with accuracy: 0.6936
- Removing the 18 feature with accuracy: 0.6966
- Removing the 19 feature with accuracy: 0.7014
- Removing the 20 feature with accuracy: 0.692
- Removing the 21 feature with accuracy: 0.6928
- Removing the 22 feature with accuracy: 0.6954
- Removing the 23 feature with accuracy: 0.6856
- Removing the 25 feature with accuracy: 0.6986
- Removing the 26 feature with accuracy: 0.6966
- Removing the 27 feature with accuracy: 0.6956
- Removing the 28 feature with accuracy: 0.693
- Removing the 30 feature with accuracy: 0.6996
- Removing the 31 feature with accuracy: 0.6982
- Removing the 32 feature with accuracy: 0.6912
- Removing the 33 feature with accuracy: 0.6926
- Removing the 34 feature with accuracy: 0.6986
- Removing the 35 feature with accuracy: 0.6968
- Removing the 36 feature with accuracy: 0.6986
- Removing the 37 feature with accuracy: 0.6952
- Removing the 38 feature with accuracy: 0.7024
- Removing the 39 feature with accuracy: 0.6958
- Removing the 40 feature with accuracy: 0.691
- Removing the 41 feature with accuracy: 0.6972
- Removing the 42 feature with accuracy: 0.6862
- Removing the 44 feature with accuracy: 0.6964
- Removing the 45 feature with accuracy: 0.6968
- Removing the 46 feature with accuracy: 0.6936
- Removing the 47 feature with accuracy: 0.6916
- Removing the 48 feature with accuracy: 0.6904
- Removing the 49 feature with accuracy: 0.6948

On level 6, removed feature 38 to current set. With current features: [1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.7024

On the 7th level of the search tree
- Removing the 1 feature with accuracy: 0.6992
- Removing the 4 feature with accuracy: 0.6966
- Removing the 5 feature with accuracy: 0.699
- Removing the 6 feature with accuracy: 0.6946
- Removing the 7 feature with accuracy: 0.6984
- Removing the 8 feature with accuracy: 0.6964
- Removing the 9 feature with accuracy: 0.694
- Removing the 10 feature with accuracy: 0.6894
- Removing the 11 feature with accuracy: 0.689
- Removing the 12 feature with accuracy: 0.701
- Removing the 13 feature with accuracy: 0.6906
- Removing the 14 feature with accuracy: 0.6946
- Removing the 15 feature with accuracy: 0.6998
- Removing the 16 feature with accuracy: 0.6978
- Removing the 17 feature with accuracy: 0.6972
- Removing the 18 feature with accuracy: 0.6946
- Removing the 19 feature with accuracy: 0.6976
- Removing the 20 feature with accuracy: 0.6896
- Removing the 21 feature with accuracy: 0.6908
- Removing the 22 feature with accuracy: 0.701
- Removing the 23 feature with accuracy: 0.6914
- Removing the 25 feature with accuracy: 0.6956
- Removing the 26 feature with accuracy: 0.6928
- Removing the 27 feature with accuracy: 0.7036
- Removing the 28 feature with accuracy: 0.6892
- Removing the 30 feature with accuracy: 0.7012
- Removing the 31 feature with accuracy: 0.6992
- Removing the 32 feature with accuracy: 0.696
- Removing the 33 feature with accuracy: 0.696
- Removing the 34 feature with accuracy: 0.6988
- Removing the 35 feature with accuracy: 0.6968
- Removing the 36 feature with accuracy: 0.6948
- Removing the 37 feature with accuracy: 0.6974
- Removing the 39 feature with accuracy: 0.6944
- Removing the 40 feature with accuracy: 0.6948
- Removing the 41 feature with accuracy: 0.6972
- Removing the 42 feature with accuracy: 0.6934
- Removing the 44 feature with accuracy: 0.6984
- Removing the 45 feature with accuracy: 0.6984
- Removing the 46 feature with accuracy: 0.6982
- Removing the 47 feature with accuracy: 0.6996
- Removing the 48 feature with accuracy: 0.6952
- Removing the 49 feature with accuracy: 0.6932

On level 7, removed feature 27 to current set. With current features: [1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.7036

On the 8th level of the search tree
- Removing the 1 feature with accuracy: 0.7028
- Removing the 4 feature with accuracy: 0.698
- Removing the 5 feature with accuracy: 0.7046
- Removing the 6 feature with accuracy: 0.7002
- Removing the 7 feature with accuracy: 0.7052
- Removing the 8 feature with accuracy: 0.7042
- Removing the 9 feature with accuracy: 0.6984
- Removing the 10 feature with accuracy: 0.6984
- Removing the 11 feature with accuracy: 0.6936
- Removing the 12 feature with accuracy: 0.6992
- Removing the 13 feature with accuracy: 0.696
- Removing the 14 feature with accuracy: 0.6996
- Removing the 15 feature with accuracy: 0.6986
- Removing the 16 feature with accuracy: 0.7018
- Removing the 17 feature with accuracy: 0.6944
- Removing the 18 feature with accuracy: 0.6938
- Removing the 19 feature with accuracy: 0.7026
- Removing the 20 feature with accuracy: 0.6954
- Removing the 21 feature with accuracy: 0.6964
- Removing the 22 feature with accuracy: 0.703
- Removing the 23 feature with accuracy: 0.6994
- Removing the 25 feature with accuracy: 0.694
- Removing the 26 feature with accuracy: 0.692
- Removing the 28 feature with accuracy: 0.698
- Removing the 30 feature with accuracy: 0.7024
- Removing the 31 feature with accuracy: 0.699
- Removing the 32 feature with accuracy: 0.698
- Removing the 33 feature with accuracy: 0.6984
- Removing the 34 feature with accuracy: 0.6962
- Removing the 35 feature with accuracy: 0.6968
- Removing the 36 feature with accuracy: 0.6998
- Removing the 37 feature with accuracy: 0.6998
- Removing the 39 feature with accuracy: 0.6974
- Removing the 40 feature with accuracy: 0.7026
- Removing the 41 feature with accuracy: 0.7022
- Removing the 42 feature with accuracy: 0.6932
- Removing the 44 feature with accuracy: 0.6992
- Removing the 45 feature with accuracy: 0.6966
- Removing the 46 feature with accuracy: 0.6986
- Removing the 47 feature with accuracy: 0.699
- Removing the 48 feature with accuracy: 0.6978
- Removing the 49 feature with accuracy: 0.6954

On level 8, removed feature 7 to current set. With current features: [1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.7052

On the 9th level of the search tree
- Removing the 1 feature with accuracy: 0.7028
- Removing the 4 feature with accuracy: 0.702
- Removing the 5 feature with accuracy: 0.706
- Removing the 6 feature with accuracy: 0.6954
- Removing the 8 feature with accuracy: 0.7046
- Removing the 9 feature with accuracy: 0.6946
- Removing the 10 feature with accuracy: 0.6972
- Removing the 11 feature with accuracy: 0.6966
- Removing the 12 feature with accuracy: 0.6988
- Removing the 13 feature with accuracy: 0.6994
- Removing the 14 feature with accuracy: 0.7002
- Removing the 15 feature with accuracy: 0.6968
- Removing the 16 feature with accuracy: 0.7012
- Removing the 17 feature with accuracy: 0.7006
- Removing the 18 feature with accuracy: 0.701
- Removing the 19 feature with accuracy: 0.7054
- Removing the 20 feature with accuracy: 0.7028
- Removing the 21 feature with accuracy: 0.6964
- Removing the 22 feature with accuracy: 0.702
- Removing the 23 feature with accuracy: 0.6972
- Removing the 25 feature with accuracy: 0.6926
- Removing the 26 feature with accuracy: 0.6942
- Removing the 28 feature with accuracy: 0.698
- Removing the 30 feature with accuracy: 0.7044
- Removing the 31 feature with accuracy: 0.702
- Removing the 32 feature with accuracy: 0.7008
- Removing the 33 feature with accuracy: 0.6978
- Removing the 34 feature with accuracy: 0.6956
- Removing the 35 feature with accuracy: 0.6996
- Removing the 36 feature with accuracy: 0.7038
- Removing the 37 feature with accuracy: 0.702
- Removing the 39 feature with accuracy: 0.6988
- Removing the 40 feature with accuracy: 0.7004
- Removing the 41 feature with accuracy: 0.7042
- Removing the 42 feature with accuracy: 0.6946
- Removing the 44 feature with accuracy: 0.6974
- Removing the 45 feature with accuracy: 0.6984
- Removing the 46 feature with accuracy: 0.6976
- Removing the 47 feature with accuracy: 0.693
- Removing the 48 feature with accuracy: 0.7028
- Removing the 49 feature with accuracy: 0.7036

On level 9, removed feature 5 to current set. With current features: [1, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.706

On the 10th level of the search tree
- Removing the 1 feature with accuracy: 0.7028
- Removing the 4 feature with accuracy: 0.6952
- Removing the 6 feature with accuracy: 0.7038
- Removing the 8 feature with accuracy: 0.7034
- Removing the 9 feature with accuracy: 0.6982
- Removing the 10 feature with accuracy: 0.6998
- Removing the 11 feature with accuracy: 0.696
- Removing the 12 feature with accuracy: 0.7
- Removing the 13 feature with accuracy: 0.6998
- Removing the 14 feature with accuracy: 0.7
- Removing the 15 feature with accuracy: 0.6946
- Removing the 16 feature with accuracy: 0.6996
- Removing the 17 feature with accuracy: 0.7018
- Removing the 18 feature with accuracy: 0.704
- Removing the 19 feature with accuracy: 0.7034
- Removing the 20 feature with accuracy: 0.7008
- Removing the 21 feature with accuracy: 0.7006
- Removing the 22 feature with accuracy: 0.7032
- Removing the 23 feature with accuracy: 0.6936
- Removing the 25 feature with accuracy: 0.6986
- Removing the 26 feature with accuracy: 0.6974
- Removing the 28 feature with accuracy: 0.7034
- Removing the 30 feature with accuracy: 0.7052
- Removing the 31 feature with accuracy: 0.7054
- Removing the 32 feature with accuracy: 0.7022
- Removing the 33 feature with accuracy: 0.6984
- Removing the 34 feature with accuracy: 0.696
- Removing the 35 feature with accuracy: 0.702
- Removing the 36 feature with accuracy: 0.7034
- Removing the 37 feature with accuracy: 0.7046
- Removing the 39 feature with accuracy: 0.7014
- Removing the 40 feature with accuracy: 0.7004
- Removing the 41 feature with accuracy: 0.7086
- Removing the 42 feature with accuracy: 0.6966
- Removing the 44 feature with accuracy: 0.7014
- Removing the 45 feature with accuracy: 0.6986
- Removing the 46 feature with accuracy: 0.702
- Removing the 47 feature with accuracy: 0.698
- Removing the 48 feature with accuracy: 0.7024
- Removing the 49 feature with accuracy: 0.7022

On level 10, removed feature 41 to current set. With current features: [1, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.7086

On the 11th level of the search tree
- Removing the 1 feature with accuracy: 0.705
- Removing the 4 feature with accuracy: 0.7008
- Removing the 6 feature with accuracy: 0.7066
- Removing the 8 feature with accuracy: 0.7092
- Removing the 9 feature with accuracy: 0.699
- Removing the 10 feature with accuracy: 0.7048
- Removing the 11 feature with accuracy: 0.6984
- Removing the 12 feature with accuracy: 0.7052
- Removing the 13 feature with accuracy: 0.7052
- Removing the 14 feature with accuracy: 0.7064
- Removing the 15 feature with accuracy: 0.7026
- Removing the 16 feature with accuracy: 0.7032
- Removing the 17 feature with accuracy: 0.707
- Removing the 18 feature with accuracy: 0.7066
- Removing the 19 feature with accuracy: 0.706
- Removing the 20 feature with accuracy: 0.7124
- Removing the 21 feature with accuracy: 0.7086
- Removing the 22 feature with accuracy: 0.7074
- Removing the 23 feature with accuracy: 0.696
- Removing the 25 feature with accuracy: 0.6994
- Removing the 26 feature with accuracy: 0.7104
- Removing the 28 feature with accuracy: 0.7046
- Removing the 30 feature with accuracy: 0.7106
- Removing the 31 feature with accuracy: 0.7084
- Removing the 32 feature with accuracy: 0.7104
- Removing the 33 feature with accuracy: 0.6962
- Removing the 34 feature with accuracy: 0.701
- Removing the 35 feature with accuracy: 0.7052
- Removing the 36 feature with accuracy: 0.7022
- Removing the 37 feature with accuracy: 0.709
- Removing the 39 feature with accuracy: 0.7014
- Removing the 40 feature with accuracy: 0.7026
- Removing the 42 feature with accuracy: 0.7016
- Removing the 44 feature with accuracy: 0.7088
- Removing the 45 feature with accuracy: 0.7018
- Removing the 46 feature with accuracy: 0.7058
- Removing the 47 feature with accuracy: 0.7026
- Removing the 48 feature with accuracy: 0.7062
- Removing the 49 feature with accuracy: 0.709

On level 11, removed feature 20 to current set. With current features: [1, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 42, 44, 45, 46, 47, 48, 49] and local maximum accuracy 0.7124

On the 12th level of the search tree
- Removing the 1 feature with accuracy: 0.7046
- Removing the 4 feature with accuracy: 0.6996
- Removing the 6 feature with accuracy: 0.7074
- Removing the 8 feature with accuracy: 0.7088
- Removing the 9 feature with accuracy: 0.7016
- Removing the 10 feature with accuracy: 0.699
- Removing the 11 feature with accuracy: 0.7008
